   R0625040000030324Instrumentos financieros                      
0615330000BR51230211          19810630BRP500000000001926266INP    
0615330000BR61301206          19810731BRP500000000002181965INP    
0615330000BR41290512          19810531BRP500000000001882918INP    
0615330000BR4A050103          19910531BRP500000000000271999INP    
0615330000BR41280312          19810531BRP500000000001893267INP    
0615330000BR52160905          19820630BRP500000000002110841INP    
0615330000BR41190808          19810531BRP500000000002110906INP    
0615330000BR41240508          19810531BRP500000000002133679INP    
0615330000BR41171010          19810531BRP500000000001974794INP    
0615330000BR41260404          19810531BRP500000000002420162INP    
0615330000BR41011207          19810531BRP500000000002164171INP    
0615330000BR41010906          19810531BRP500000000002249634INP    
0615330000BR22130702          19820331BRP500000000002351594INP    
0615330000BR41010507          19810531BRP500000000002203665INP    
0615330000BR12271214          19820228BRP500000000001594153INP    
0615330000BR12070203          19820228BRP500000000002301117INP    
0615330000BR01280302          19811130BRP500000000002416114INP    
0615330000BR41010604          19810531BRP500000000002411224INP    
0615330000BR22230602          19820331BRP500000000002352782INP    
0615330000BR12110709          19820228BRP500000000001882041INP    
0615330000BR01280902          19811130BRP500000000002385112INP    
0615330000BR23130304          19830331BRP500000000001742052INP    
0615330000BR22011204          19820331BRP500000000002184437INP    
0615330000BR02240603          19821130BRP500000000001929188INP    
0615330000BR01280407          19811130BRP500000000002067739INP    
0615330000BR61150607          19810731BRP500000000002147216INP    
0615330000BR41300412          19810531BRP500000000001887370INP    
0615330000BR41250212          19810531BRP500000000001898798INP    
0615330000BR41100511          19810531BRP500000000001943248INP    
0615330000BR41170502          19810531BRP500000000002559918INP    
0615330000BR41061212          19810531BRP500000000001851376INP    
0615330000BR23160802          19830331BRP500000000001830628INP    
0615330000BR13200109          19830228BRP500000000001508083INP    
0615330000BR52120707          19820630BRP500000000001996101INP    
0615330000BR42310514          19820531BRP500000000001613473INP    
0615330000BR52070709          19820630BRP500000000001876626INP    
0615330000BR1C271105          19930228BRP500000000000179520INP    
0615330000BR41251207          19810531BRP500000000002161259INP    
0615330000BR41190701          19810531BRP500000000002627280INP    
0615330000BR41200410          19810531BRP500000000002010967INP    
0615330000BR33060204          19830430BRP500000000001710468INP    
0615330000BR61140611          19810731BRP500000000001897104INP    
0615330000BR51211202          19810630BRP500000000002478894INP    
0615330000BR41101004          19810531BRP500000000002382698INP    
0615330000BR41041215          19810531BRP500000000001690202INP    
0615330000BR51070304          19810630BRP500000000002388316INP    
0615330000BR41261103          19810531BRP500000000002456355INP    
0615330000BR51010513          19810630BRP500000000001799871INP    
0615330000BR41250106          19810531BRP500000000002293203INP    
0615330000BR61090701          19810731BRP500000000002578650INP    
0615330000BR41051111          19810531BRP500000000001914985INP    
0615330000BR41250405          19810531BRP500000000002347106INP    
0615330000BR41181201          19810531BRP500000000002593223INP    
0615330000BR41270613          19810531BRP500000000001821523INP    
0615330000BR41080407          19810531BRP500000000002206303INP    
0615330000BR32011102          19820430BRP500000000002314968INP    
0615330000BR22210603          19820331BRP500000000002283383INP    
0615330000BR91091210          19811031BRP500000000001856657INP    
0615330000BR51100805          19810630BRP500000000002284235INP    
0615330000BR41180903          19810531BRP500000000002464459INP    
0615330000BR41121113          19810531BRP500000000001797435INP    
0615330000BR52141102          19820630BRP500000000002308087INP    
0615330000BR41110806          19810531BRP500000000002251265INP    
0615330000BR51220912          19810630BRP500000000001835534INP    
0615330000BR41261114          19810531BRP500000000001745793INP    
0615330000BR41090411          19810531BRP500000000001948571INP    
0615330000BR13121207          19830228BRP500000000001558378INP    
0615330000BR41090105          19810531BRP500000000002364544INP    
0615330000BR12290703          19820228BRP500000000002271326INP    
0615330000BR37221105          19870430BRP500000000000607037INP    
0615330000BR13030904          19830228BRP500000000001726088INP    
0615330000BR07080902          19871130BRP500000000000581354INP    
0615330000BR03240211          19831130BRP500000000001156359INP    
0615330000BR51100407          19810630BRP500000000002169621INP    
0615330000BR41290607          19810531BRP500000000002193129INP    
0615330000BR41120913          19810531BRP500000000001806699INP    
0615330000BR22280603          19820331BRP500000000002287891INP    
0615330000BR41281012          19810531BRP500000000001859204INP    
0615330000BR41111115          19810531BRP500000000001692130INP    
0615330000BR41050603          19810531BRP500000000002489364INP    
0615330000BR41030414          19810531BRP500000000001779723INP    
0615330000BR41291006          19810531BRP500000000002239413INP    
0615330000BR12031108          19820228BRP500000000001923745INP    
0615330000BR41160414          19810531BRP500000000001775288INP    
0615330000BR41151202          19810531BRP500000000002522826INP    
0615330000BR41150813          19810531BRP500000000001810450INP    
0615330000BR41070510          19810531BRP500000000002004405INP    
0615330000BR24020511          19840331BRP500000000001113746INP    
0615330000BR18100502          19880229BRP500000000000562911INP    
0615330000BR51040602          19810630BRP500000000002517657INP    
0615330000BR12100702          19820228BRP500000000002342037INP    
0615330000BR41070605          19810531BRP500000000002335297INP    
0615330000BR41021111          19810531BRP500000000001916089INP    
0615330000BR41161213          19810531BRP500000000001793549INP    
0615330000BR3A090801          19910430BRP500000000000289430INP    
0615330000BR41121009          19810531BRP500000000002038839INP    
0615330000BR41050813          19810531BRP500000000001813932INP    
0615330000BR41290702          19810531BRP500000000002556668INP    
0615330000BR41070712          19810531BRP500000000001875092INP    
0615330000BR2E181105          19950331BRP500000000000133793INP    
0615330000BR22170405          19820331BRP500000000002155373INP    
0615330000BR41161203          19810531BRP500000000002447013INP    
0615330000BR41060104          19810531BRP500000000002445206INP    
0615330000BR41040311          19810531BRP500000000001954716INP    
0615330000BR02230503          19821130BRP500000000001928341INP    
0615330000BR41290911          19810531BRP500000000001922323INP    
0615330000BR41190305          19810531BRP500000000002348634INP    
0615330000BR03200805          19831130BRP500000000001369071INP    
0615330000BR01290608          19811130BRP500000000001992443INP    
0615330000BR2B161203          19920331BRP500000000000222050INP    
0615330000BR12300910          19820228BRP500000000001814206INP    
0615330000BR22310705          19820331BRP500000000002140530INP    
0615330000BR0C210902          19931130BRP500000000000171909INP    
0615330000BR41161108          19810531BRP500000000002095706INP    
0615330000BR12050202          19820228BRP500000000002367153INP    
